LineupID,Top10%,Top1%,Top50%,Mean,StDev,Proj,Salary,Players
L004,0.231,0.1270,0.646,86.70,10.74,86.30,35200,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Max Mash(OF-MIL)
L015,0.210,0.1180,0.648,86.07,10.67,85.70,35300,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Jake Jack(3B-LAA) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Max Mash(OF-MIL)
L013,0.194,0.1090,0.634,85.87,10.57,85.60,35500,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Max Mash(OF-MIL)
L010,0.169,0.0820,0.593,84.31,10.91,84.20,35200,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Finn Batter(OF-ATL)
L008,0.137,0.0730,0.556,83.78,10.46,83.90,34600,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Finn Batter(OF-ATL)
L009,0.135,0.0600,0.502,82.90,10.55,83.20,34900,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Finn Batter(OF-ATL)
L003,0.133,0.0560,0.515,83.24,10.97,83.50,35100,Will Workhorse(P-NYM) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Finn Batter(OF-ATL)
L002,0.119,0.0670,0.532,82.93,10.70,83.20,34500,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Ned Nailer(OF-SDP)
L007,0.116,0.0550,0.531,82.90,10.44,82.10,34400,Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Jake Jack(3B-LAA) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Max Mash(OF-MIL)
L006,0.113,0.0480,0.524,83.11,10.58,83.30,35000,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Gabe Batter(OF-CHC)
L012,0.111,0.0500,0.478,82.04,10.50,82.50,34800,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Ned Nailer(OF-SDP)
L011,0.104,0.0480,0.458,81.54,10.47,80.90,33800,Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Cam Batter(3B-LAD) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Leo Light(OF-SFG)
L005,0.095,0.0370,0.449,81.50,10.44,81.60,34600,Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Finn Batter(OF-ATL)
L014,0.088,0.0400,0.474,81.98,10.11,81.90,34400,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Jake Jack(3B-LAA) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Finn Batter(OF-ATL)
L001,0.086,0.0300,0.438,81.03,10.20,80.90,34400,Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Gabe Batter(OF-CHC)
