Lineup,Salary,TotalProj
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Finn Batter(OF-ATL),34900,83.20
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ollie OnBase(2B-TBR) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Leo Light(OF-SFG),34500,81.00
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Cam Batter(3B-LAD) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Ned Nailer(OF-SDP),34500,82.80
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Max Mash(OF-MIL),35200,84.60
Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Jake Jack(3B-LAA) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Gabe Batter(OF-CHC),34200,81.20
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Ned Nailer(OF-SDP),34800,82.10
Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Cam Batter(3B-LAD) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Gabe Batter(OF-CHC),34100,81.40
Will Workhorse(P-NYM) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Max Mash(OF-MIL),35100,86.00
Will Workhorse(P-NYM) | Alice Batter(1B-NYM) | Ollie OnBase(2B-TBR) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Leo Light(OF-SFG),34700,83.80
Will Workhorse(P-NYM) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Jake Jack(3B-LAA) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Gabe Batter(OF-CHC),35000,84.10
Will Workhorse(P-NYM) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Max Mash(OF-MIL),35100,83.90
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Cam Batter(3B-LAD) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Leo Light(OF-SFG),33800,81.10
Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ian Infielder(2B-SEA) | Cam Batter(3B-LAD) | Kai King(SS-PHI) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Max Mash(OF-MIL),34600,84.10
Sam Starter(P-LAD) | Alice Batter(1B-NYM) | Ollie OnBase(2B-TBR) | Cam Batter(3B-LAD) | Drew Batter(SS-HOU) | Quinn Quick(OF-NYM) | Eli Batter(OF-NYM) | Gabe Batter(OF-CHC),34200,81.00
Pat Pitcher(P-ATL) | Alice Batter(1B-NYM) | Ben Batter(2B-BOS) | Roy Raker(3B-CHW) | Drew Batter(SS-HOU) | Eli Batter(OF-NYM) | Quinn Quick(OF-NYM) | Finn Batter(OF-ATL),34900,82.80
