Lineup,Salary,Notes
"PLAYER_A1,PLAYER_B1,PLAYER_C1,... (stub)",49900,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A2,PLAYER_B2,PLAYER_C2,... (stub)",49800,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A3,PLAYER_B3,PLAYER_C3,... (stub)",49700,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A4,PLAYER_B4,PLAYER_C4,... (stub)",49600,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A5,PLAYER_B5,PLAYER_C5,... (stub)",49500,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A6,PLAYER_B6,PLAYER_C6,... (stub)",49400,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A7,PLAYER_B7,PLAYER_C7,... (stub)",49300,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A8,PLAYER_B8,PLAYER_C8,... (stub)",49200,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A9,PLAYER_B9,PLAYER_C9,... (stub)",49100,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
"PLAYER_A10,PLAYER_B10,PLAYER_C10,... (stub)",49000,Generated from run eabd73e2-9060-4723-a34e-e9e4accfefc6
