lineup_id,P,C1B,2B,3B,SS,OF1,OF2,OF3,UTIL
0,p1,c2,b2a,b3a,ss1,of1,of2,of3,c1
1,p1,c1,b2b,b3a,ss2,of2,of3,of1,ss1
2,p1,c1,b2a,b3b,ss1,of2,of5,of1,ut3
3,p1,c1,b2a,b3a,ss1,of1,of5,of4,c2
4,p1,c1,b2a,b3a,ss1,of2,of4,of5,b3b
5,p1,c1,b2a,b3a,ss1,of5,of1,of2,ut1
6,p2,c1,b2b,b3a,ss2,of1,of2,of5,ss1
7,p2,c2,b2a,b3b,ss2,of1,of2,of4,b3a
8,p2,c2,b2a,b3b,ss1,of2,of5,of4,c1
9,p1,c2,b2a,b3b,ss2,of1,of4,of2,c1
10,p1,c1,b2a,b3b,ss1,of1,of3,of2,b2b
11,p2,c1,b2a,b3a,ss1,of2,of5,of1,c2
12,p1,c2,b2a,b3b,ss1,of3,of1,of5,c1
13,p1,c1,b2b,b3b,ss1,of2,of3,of5,b3a
14,p2,c1,b2b,b3b,ss2,of2,of1,of3,ss1
15,p2,c2,b2b,b3b,ss1,of2,of5,of1,c1
16,p1,c2,b2b,b3a,ss1,of1,of2,of4,c1
17,p1,c2,b2b,b3b,ss1,of1,of4,of2,ut1
18,p2,c2,b2a,b3b,ss1,of2,of5,of1,ss2
19,p1,c2,b2b,b3a,ss2,of5,of1,of3,ss1
20,p2,c1,b2a,b3a,ss2,of1,of2,of5,b3b
21,p1,c2,b2a,b3a,ss2,of1,of5,of2,c1
22,p1,c2,b2b,b3b,ss1,of1,of5,of4,b3a
23,p2,c1,b2b,b3b,ss1,of1,of2,of4,ut1
24,p2,c1,b2a,b3b,ss2,of2,of3,of4,c2
25,p1,c2,b2b,b3b,ss1,of2,of5,of4,c1
26,p2,c1,b2b,b3a,ss1,of2,of4,of5,c2
27,p2,c1,b2a,b3b,ss1,of1,of5,of4,b3a
28,p2,c1,b2a,b3a,ss1,of2,of1,of3,ss2
29,p2,c2,b2b,b3a,ss1,of1,of2,of3,c1
30,p1,c2,b2a,b3a,ss1,of2,of1,of5,b2b
31,p2,c2,b2a,b3b,ss1,of1,of2,of3,c1
32,p1,c2,b2a,b3b,ss1,of1,of4,of3,b3a
33,p1,c1,b2b,b3b,ss2,of2,of4,of5,b3a
34,p2,c2,b2b,b3a,ss1,of1,of2,of4,ss2
35,p1,ut1,b2a,b3b,ss1,of1,of2,of4,c1
36,p2,c1,b2a,b3b,ss2,of2,of5,of3,ut1
37,p1,c2,b2a,b3a,ss1,of1,of4,of2,ut1
38,p1,c1,b2b,b3b,ss2,of3,of1,of5,ss1
39,p2,c1,b2a,b3b,ss1,of1,of4,of2,ss2
40,p1,c1,b2b,b3b,ss2,of2,of1,of5,b2a
41,p1,c2,b2a,b3a,ss2,of2,of5,of4,ss1
42,p2,ut1,b2a,b3a,ss2,of1,of2,of5,ss1
43,p1,c1,ut2,b3a,ss2,of1,of4,of2,ss1
44,p1,c1,b2b,b3b,ss1,of1,of3,of4,c2
45,p1,ut1,b2b,b3b,ss1,of2,of3,of1,ss2
46,p1,c2,b2a,b3b,ss1,of2,of3,of4,c1
47,p1,c1,b2b,b3a,ss2,of5,of4,of1,c2
48,p1,c2,b2a,b3b,ss2,of3,of5,of2,ss1
49,p1,c1,b2a,b3b,ss2,of1,of5,of4,b3a
50,p1,c1,b2a,b3b,ss2,of2,of5,of1,ut3
