P,C/1B,2B,3B,SS,OF,OF,OF,UTIL
p2,c2,b2b,b3b,ss1,of2,of5,of1,c1
p2,c1,b2a,b3a,ss1,of1,of2,of4,b3b
p2,c2,b2a,b3a,ss1,of1,of2,of3,c1
p1,c1,b2a,b3b,ss1,of1,of5,of4,c2
p2,c1,b2a,b3b,ss1,of1,of5,of3,b3a
p1,c2,b2a,b3a,ss1,of1,of2,of4,c1
p1,c1,b2b,b3b,ss1,of1,of4,of5,b3a
p2,c2,b2b,b3b,ss1,of1,of2,of4,ss2
p2,ut1,b2a,b3b,ss1,of1,of2,of3,c1
p1,c2,b2b,b3b,ss1,of2,of4,of5,ss2
p2,c1,b2a,b3a,ss1,of4,of1,of5,b2b
p1,c1,b2a,b3b,ss2,of1,of5,of4,b3a
p1,c2,b2b,b3b,ss1,of3,of5,of1,c1
p1,ut1,b2a,b3b,ss1,of1,of3,of4,c1
p1,c1,b2a,b3a,ss1,of5,of1,of4,ut1
p2,c1,b2a,b3a,ss2,of1,of2,of3,b3b
p1,c2,b2a,b3a,ss1,of1,of3,of5,ut1
p2,c1,b2b,b3a,ss2,of1,of2,of4,ss1
p2,c2,b2a,b3b,ss1,of1,of2,of5,b3a
p2,c1,b2a,b3a,ss2,of1,of2,of4,c2
p2,c1,b2b,b3b,ss2,of2,of1,of3,ss1
p2,c2,b2b,b3a,ss1,of1,of5,of2,ss2
p2,ut1,b2a,b3b,ss1,of1,of4,of3,b3a
p1,c1,b2a,b3a,ss2,of5,of1,of2,ut1
p1,c1,b2a,b3a,ss2,of2,of4,of1,b2b
p1,c2,b2b,b3b,ss1,of1,of3,of2,ut1
p1,c1,b2a,b3a,ss1,of2,of4,of5,b3b
p1,c1,b2b,b3b,ss2,of2,of4,of1,c2
p1,c2,b2a,b3b,ss1,of2,of1,of4,b2b
p1,ut1,b2b,b3a,ss1,of1,of2,of5,ss2
p1,c2,b2b,b3a,ss2,of3,of2,of4,b2a
p2,c2,b2a,b3b,ss1,of1,of3,of2,b2b
p2,c2,b2b,b3a,ss2,of1,of3,of2,c1
p1,c2,b2a,b3a,ss2,of5,of3,of2,c1
p1,c2,b2a,b3b,ss1,of1,of4,of3,b3a
p2,c2,b2b,b3a,ss1,of2,of3,of4,c1
p1,c2,b2a,b3a,ss1,of2,of1,of5,b2b
p1,c1,b2a,b3a,ss1,of1,of5,of3,ss2
p1,c1,b2b,b3a,ss2,of2,of5,of1,c2
p1,c1,b2b,b3b,ss1,of3,of1,of4,of2
p2,c2,b2a,b3b,ss1,of1,of4,of3,c1
p1,c1,b2a,b3b,ss2,of1,of5,of3,ut1
p2,c2,b2a,b3a,ss1,of3,of1,of5,b2b
p1,c1,b2b,b3a,ss1,of1,of3,of4,c2
p2,c1,b2a,b3a,ss1,of2,of5,of1,ut1
p1,c1,b2a,b3b,ss1,of3,of5,of1,ut3
p1,ut1,b2a,b3a,ss1,of1,of2,of3,c1
p2,c1,b2b,b3b,ss1,of1,of3,of4,b3a
p2,c2,b2b,b3b,ss1,of4,of5,of3,of1
p2,c1,b2b,b3b,ss1,of1,of2,of4,ut1
p2,ut1,b2b,b3a,ss1,of1,of2,of3,c2
p2,c1,b2a,b3a,ss2,of3,of2,of5,ss1
p1,c1,b2b,b3a,ss2,of4,of2,of3,ss1
p1,c2,b2b,b3a,ss1,of1,of5,of4,ss2
p1,c2,b2a,b3b,ss2,of1,of4,of2,of5
p1,c1,b2b,b3b,ss2,of2,of1,of5,b2a
p2,c1,b2a,b3b,ss1,of4,of5,of1,ut3
p1,ut1,b2b,b3a,ss1,of1,of2,of4,c2
p1,c1,b2b,b3a,ss1,of2,of4,of5,c2
p2,c2,b2a,b3b,ss1,of2,of4,of1,ut1
p2,c2,b2a,b3b,ss1,of2,of5,of3,c1
p1,c2,b2a,b3a,ss2,of2,of5,of4,ss1
p1,c1,b2b,b3b,ss1,of2,of3,of5,ss2
p1,c2,b2a,b3b,ss2,of3,of5,of2,ss1
p2,c2,b2a,b3b,ss1,of2,of4,of5,ss2
p2,c2,b2b,b3b,ss2,of3,of2,of4,c1
p1,c1,ut2,b3a,ss2,of2,of5,of4,c2
p2,c1,b2b,b3a,ss2,of4,of2,of5,c2
p1,c1,b2a,b3b,ss2,of2,of3,of4,c2
p2,c2,b2a,b3b,ss2,of3,of2,of4,b3a
p1,c1,b2b,b3b,ss2,of2,of4,of5,b3a
p2,c1,b2a,b3a,ss2,of2,of4,of5,b3b
p2,c2,b2b,b3b,ss2,of2,of5,of3,ut1
p1,ut1,b2b,b3a,ss2,of3,of5,of4,c1
p2,c1,b2b,b3b,ss2,of3,of4,of5,b3a
p1,c1,b2b,b3b,ss2,of3,of4,of5,b2a
p1,ut1,b2a,b3a,ss2,of3,of5,of4,b3b
p2,c2,b2a,b3b,ss2,of5,of4,of3,c1
p1,c2,b2b,b3b,ss2,of3,of4,of5,b3a
p2,c2,b2b,b3a,ut3,of3,of5,of4,ss2
p1,c2,b2a,b3b,ss2,of4,of5,of3,ut3
p2,c2,b2a,b3a,ss2,of5,of3,of4,ut1
p1,c2,ut2,b3b,ss2,of4,of5,of3,ut1
