mean,std,p75,p90,p99,top_50pct_rate,top_10pct_rate,top_1pct_rate,lineup_id,rank_p99
95.79558,19.139671,108.74573,120.82036,139.3044,0.681,0.19,0.023,0,16
94.7044,18.71958,106.74257,118.94995,139.02965,0.648,0.149,0.02,1,727
93.659515,18.818975,106.632805,118.04145,136.03374,0.607,0.149,0.017,2,174
95.138115,19.232128,108.28684,119.27885,143.2693,0.649,0.195,0.028,3,1247
94.765625,19.046907,107.35074,119.01319,140.45123,0.626,0.193,0.023,4,995
95.01694,19.23846,107.51497,118.92091,140.0221,0.631,0.186,0.031,5,136
94.378006,18.73085,106.97025,117.98803,139.51929,0.644,0.148,0.017,6,101
93.62606,18.59742,106.311554,117.26409,137.07428,0.61,0.129,0.005,7,179
93.77544,18.456661,106.49797,116.67395,138.54433,0.591,0.128,0.012,8,875
94.94164,18.499628,107.30266,119.038,137.90817,0.648,0.161,0.015,9,1370
94.296616,18.758186,106.92149,119.365715,137.89554,0.635,0.139,0.015,10,4
95.469185,18.978287,109.16988,119.04676,141.10506,0.658,0.181,0.017,11,825
94.59911,19.328278,108.041245,119.0351,142.67366,0.627,0.181,0.025,12,758
93.93009,18.346327,106.09291,117.05639,136.65234,0.6,0.14,0.016,13,582
93.67589,18.940845,105.89407,117.8591,140.89987,0.622,0.128,0.011,14,82
94.76701,19.698933,107.45276,118.848495,146.85254,0.639,0.195,0.034,15,198
95.63239,19.02633,108.295044,119.73267,141.21745,0.668,0.196,0.019,16,29
93.497246,19.955153,106.8022,119.14966,140.33307,0.588,0.174,0.03,17,568
94.02016,19.621979,107.1007,118.43028,139.38483,0.623,0.17,0.031,18,1145
93.056366,18.7131,105.668,116.875404,136.77747,0.584,0.136,0.009,19,517
94.44358,18.331203,106.91163,118.15324,138.7245,0.632,0.142,0.01,20,1008
95.307594,18.640293,108.26625,119.760605,138.22185,0.656,0.183,0.022,21,725
93.946045,19.176327,107.14271,118.15921,140.81908,0.6,0.158,0.02,22,13
93.32595,19.41292,106.25233,118.61284,139.4046,0.602,0.14,0.013,23,1586
92.28885,19.075533,105.71859,116.51087,137.14796,0.528,0.144,0.025,24,50
94.101776,18.562712,106.65645,117.61729,139.98932,0.605,0.153,0.014,25,28
93.478905,18.645248,106.152664,118.204895,135.30554,0.609,0.128,0.011,26,1160
94.27411,20.715925,108.37333,120.593575,142.42181,0.601,0.208,0.056,27,64
94.37807,19.37235,107.736786,118.18121,142.90988,0.613,0.165,0.029,28,1485
94.47053,19.196753,107.307755,118.59996,140.49866,0.639,0.156,0.015,29,76
94.34434,19.00423,107.358475,119.23188,139.84972,0.623,0.175,0.011,30,1060
94.767075,19.247759,108.286545,119.17024,140.27946,0.65,0.171,0.018,31,602
93.94609,19.279171,107.09815,118.777885,140.02141,0.607,0.157,0.018,32,212
93.27898,18.028435,104.71971,117.07299,136.77448,0.582,0.13,0.009,33,870
93.560486,19.520159,106.66096,119.537994,139.01508,0.583,0.16,0.024,34,500
94.651,19.538048,107.505066,120.91961,140.29253,0.629,0.192,0.029,35,131
91.17405,17.861341,103.30754,114.19173,133.59927,0.508,0.078,0.003,36,193
94.19942,18.722424,106.482506,118.65829,137.23943,0.604,0.15,0.016,37,253
93.50795,18.874939,105.78307,118.218506,139.17613,0.594,0.148,0.024,38,525
94.51142,18.917566,107.20643,119.25949,138.72382,0.638,0.151,0.011,39,497
93.808624,18.258162,105.81106,117.52791,139.02501,0.586,0.129,0.012,40,446
93.55773,18.519276,106.073326,116.5795,138.4541,0.606,0.14,0.019,41,325
92.94503,19.007627,105.74679,116.908714,137.45857,0.587,0.13,0.017,42,265
93.43901,18.197693,105.2996,117.44338,135.0707,0.591,0.129,0.008,43,386
93.93664,18.750986,106.493484,117.47424,141.05075,0.611,0.139,0.01,44,512
92.569244,19.652124,106.6555,117.323364,137.60022,0.565,0.142,0.028,45,1540
94.10183,18.65749,106.77826,117.78178,136.26988,0.614,0.162,0.016,46,239
93.65147,18.574495,106.734634,117.716225,137.42995,0.592,0.153,0.019,47,453
93.01874,18.387117,104.87004,116.798294,138.18413,0.578,0.124,0.011,48,699
94.11251,18.860857,107.14981,119.49488,142.42793,0.614,0.159,0.026,49,584
92.67223,17.611431,104.63896,115.68096,133.54926,0.569,0.098,0.009,50,1829
93.14273,18.763706,105.71883,117.08341,134.30795,0.564,0.138,0.015,51,1573
94.8067,19.11761,107.389206,120.04998,138.92842,0.657,0.171,0.012,52,1219
90.01728,18.45383,102.24941,114.21499,132.36377,0.458,0.09,0.011,53,978
94.60114,18.29489,106.629745,117.80495,139.48335,0.643,0.159,0.012,54,17
93.52876,18.83558,106.171165,117.862755,137.10353,0.606,0.128,0.01,55,954
90.67468,17.862278,102.61397,113.394394,131.90657,0.476,0.082,0.005,56,12
93.373726,18.992405,106.41736,118.016624,137.93968,0.605,0.128,0.01,57,610
89.51792,17.653996,101.25801,112.93643,129.6797,0.438,0.053,0.004,58,719
92.62459,18.77155,105.42131,116.90748,139.35239,0.555,0.152,0.018,59,45
93.8787,18.93406,106.03288,117.67612,139.78275,0.611,0.142,0.017,60,92
91.755486,18.534273,104.06181,115.87325,134.92691,0.514,0.14,0.011,61,73
92.19569,18.235233,104.59871,115.79038,135.19159,0.533,0.103,0.01,62,1328
94.150826,18.65665,106.464035,118.210526,142.29338,0.623,0.16,0.025,63,1007
92.827446,18.240034,105.12118,116.34345,139.24332,0.571,0.113,0.008,64,1639
93.816666,19.162664,107.034065,118.86125,139.41934,0.587,0.201,0.026,65,1935
92.88508,18.613604,104.91421,116.45866,136.24207,0.565,0.111,0.012,66,15
92.579094,19.381523,105.83923,117.810936,136.36444,0.559,0.118,0.021,67,278
91.50037,17.886234,103.362526,114.51367,134.52913,0.5,0.095,0.005,68,23
93.165436,19.116302,105.73856,117.11697,139.06763,0.573,0.138,0.022,69,1583
91.214905,20.33559,105.073654,116.0911,139.48909,0.51,0.151,0.035,70,1373
93.10283,18.115305,105.045425,117.439545,133.8316,0.576,0.113,0.01,71,139
95.26637,19.30424,109.03395,118.96525,140.98517,0.655,0.191,0.025,72,232
92.788155,18.038876,105.46701,115.67853,135.12651,0.581,0.117,0.012,73,1051
91.99973,17.666994,103.8062,115.86553,134.77234,0.546,0.093,0.012,74,204
94.17519,19.376823,106.88966,118.69101,142.24318,0.623,0.18,0.025,75,1053
94.13945,18.940641,106.97375,118.48557,139.57109,0.607,0.163,0.016,76,1835
93.789185,18.412169,106.93602,117.34702,135.9694,0.616,0.117,0.015,77,281
94.31243,19.49759,107.527214,118.22054,140.47762,0.61,0.178,0.024,78,1076
92.33389,18.737774,105.131744,116.418015,139.61687,0.543,0.137,0.019,79,419
93.03755,19.083933,106.20599,117.05482,138.95787,0.58,0.119,0.011,80,669
94.60389,19.132172,107.43527,118.77161,142.9604,0.652,0.142,0.02,81,30
93.10441,18.43329,105.82054,117.03523,136.97232,0.586,0.122,0.007,82,79
91.11793,18.276089,103.54148,113.70582,135.47713,0.506,0.086,0.006,83,730
93.51865,19.10455,106.68254,117.29665,139.32045,0.592,0.139,0.009,84,5
92.28255,18.801704,105.156136,116.627335,136.63445,0.544,0.105,0.007,85,1178
92.52722,19.186226,104.6613,117.79666,136.92664,0.546,0.13,0.014,86,1070
92.27714,18.38021,105.12398,115.02724,136.1762,0.546,0.106,0.009,87,303
93.34482,18.484077,105.01634,117.2943,138.73416,0.578,0.123,0.01,88,623
89.387794,18.951342,101.710304,114.12672,135.81169,0.443,0.099,0.007,89,1036
92.874374,19.06632,106.42551,117.463715,138.04224,0.58,0.118,0.008,90,18
93.77475,19.46244,106.359344,118.62779,141.04109,0.597,0.167,0.019,91,458
92.450005,18.653156,104.75853,116.39954,137.62181,0.546,0.109,0.009,92,36
90.91511,18.756254,103.913345,115.0789,136.02826,0.473,0.092,0.009,93,32
93.72061,19.324657,107.10448,117.94392,139.79373,0.599,0.166,0.022,94,773
91.20205,18.537188,103.85123,115.599594,134.81125,0.501,0.098,0.009,95,190
91.94607,18.250858,104.038284,115.054306,135.98816,0.534,0.104,0.009,96,837
92.04989,17.924675,103.82994,115.387825,134.98108,0.553,0.108,0.01,97,533
91.412476,19.03366,104.475525,116.188034,137.92378,0.531,0.107,0.012,98,125
94.18121,18.975317,107.07748,119.10927,138.37144,0.623,0.149,0.013,99,1618
96.13176,19.181133,109.77955,120.47243,144.24544,0.687,0.202,0.03,100,1379
92.152565,18.520039,104.79481,116.17442,136.84366,0.549,0.109,0.013,101,967
94.60678,18.466599,106.42231,119.46428,137.81078,0.649,0.165,0.012,102,267
92.66816,20.43621,106.30441,120.10439,140.15912,0.552,0.176,0.041,103,202
94.15164,19.266832,107.32284,118.97642,139.03137,0.613,0.173,0.014,104,921
90.98672,17.671322,103.27196,113.17283,134.2853,0.508,0.073,0.003,105,104
92.109184,17.90629,104.09264,114.968925,133.98459,0.53,0.093,0.009,106,259
93.376595,18.410486,105.37098,117.24151,136.87405,0.594,0.131,0.015,107,1223
90.51964,18.061188,102.65682,114.5484,132.04332,0.468,0.074,0.002,108,1700
94.02812,19.665283,107.32675,118.595985,139.98346,0.601,0.178,0.026,109,1094
94.51764,19.301464,107.27111,119.21673,139.46706,0.619,0.177,0.031,110,1211
94.19125,19.47643,107.64944,118.78219,139.5539,0.6,0.167,0.023,111,235
92.16658,19.714172,105.77504,117.621826,139.54439,0.546,0.154,0.027,112,1129
91.844376,18.891022,105.17862,116.49357,134.38419,0.521,0.127,0.015,113,803
93.72367,19.111153,106.76141,117.96668,139.29361,0.61,0.141,0.015,114,706
92.991104,19.07976,106.50693,117.69628,137.37578,0.567,0.152,0.02,115,1759
94.26627,18.325188,106.26578,118.24112,139.6773,0.619,0.147,0.017,116,1282
90.551,18.065475,102.968864,113.95778,134.45187,0.485,0.079,0.011,117,6
92.53186,18.292677,104.43622,115.76112,136.20998,0.573,0.105,0.008,118,33
92.361885,18.810186,104.574295,116.33482,136.81944,0.551,0.098,0.006,119,26
90.511566,18.023546,103.03542,114.15657,132.97191,0.474,0.089,0.006,120,110
90.16103,17.82177,101.84239,112.611725,130.93759,0.464,0.052,0.004,121,1602
91.34665,17.85711,103.795456,114.09816,133.3481,0.511,0.085,0.008,122,1024
90.51681,17.85368,102.75384,113.689606,132.01027,0.472,0.077,0.006,123,350
94.969826,19.023962,107.90721,118.9268,140.20137,0.659,0.163,0.024,124,711
92.851395,18.563,105.139015,116.80621,135.49446,0.58,0.107,0.006,125,1645
93.05026,18.876095,106.130486,116.24402,139.33905,0.561,0.143,0.019,126,1610
91.62275,18.957438,104.18538,116.06641,134.78586,0.525,0.105,0.013,127,561
92.24031,18.961964,105.16162,116.29453,137.10799,0.538,0.114,0.012,128,495
91.94765,18.96068,104.21305,115.428474,137.84583,0.54,0.113,0.008,129,1343
93.86017,20.136593,107.327385,118.78279,141.94601,0.579,0.209,0.035,130,899
90.33743,17.40435,101.528465,112.405106,131.0182,0.482,0.067,0.002,131,881
92.88708,18.374441,105.33822,117.05451,137.25192,0.562,0.11,0.015,132,31
