player_id,name,team,positions,salary,projection
p1,Pitcher A,NYM,P,9500,18.2
p2,Pitcher B,ATL,P,8800,17.5
c1,C1B A,ATL,C/1B,3100,10.3
c2,C1B B,NYM,C/1B,3200,9.9
b2a,2B A,ATL,2B,2900,9.1
b2b,2B B,NYM,2B,2800,8.7
b3a,3B A,ATL,3B,3200,9.7
b3b,3B B,LAD,3B,3500,10.0
ss1,SS A,LAD,SS,3600,10.4
ss2,SS B,NYM,SS,3300,9.2
of1,OF A,LAD,OF,3400,9.6
of2,OF B,NYM,OF,3300,9.3
of3,OF C,ATL,OF,2700,7.8
of4,OF D,ATL,OF,2800,8.1
of5,OF E,LAD,OF,3000,8.5
ut1,UTIL A,LAD,1B,2900,8.8
ut2,UTIL B,NYM,2B,2500,7.1
ut3,UTIL C,ATL,SS,2600,7.4
