mean,std,p75,p90,p99,top_50pct_rate,top_10pct_rate,top_1pct_rate,lineup_id,rank_p99,selected_rank
94.76701,19.698933,107.45276,118.848495,146.85254,0.639,0.195,0.034,15,198,1
95.26775,19.890232,108.726715,119.81396,146.68433,0.643,0.208,0.031,726,332,2
94.969894,19.55396,108.494835,118.94542,146.19847,0.636,0.19,0.024,173,1811,3
94.935295,19.324268,107.702126,119.52505,145.59496,0.628,0.193,0.029,1246,1490,4
93.937935,20.83273,107.870415,119.13007,144.98444,0.58,0.208,0.048,135,1093,5
96.13176,19.181133,109.77955,120.47243,144.24544,0.687,0.202,0.03,100,1379,6
94.60044,19.389698,107.63828,119.54432,143.4934,0.613,0.194,0.034,178,252,7
93.357666,19.879002,106.98169,118.272,142.92044,0.577,0.179,0.03,197,115,8
93.489136,20.00777,107.00084,119.0388,142.89624,0.578,0.161,0.032,567,1342,9
92.85555,19.483364,106.02956,117.33918,142.88583,0.561,0.167,0.033,1144,961,10
93.01628,19.497036,105.275925,117.55131,142.44807,0.571,0.153,0.015,1585,1419,11
94.11251,18.860857,107.14981,119.49488,142.42793,0.614,0.159,0.026,49,584,12
94.09976,19.174406,107.225494,117.78806,142.35338,0.604,0.168,0.024,1159,1330,13
93.15806,20.474909,106.45042,120.2066,142.25858,0.572,0.193,0.041,1484,1267,14
93.86017,20.136593,107.327385,118.78279,141.94601,0.579,0.209,0.035,130,899,15
93.94428,19.067896,107.381035,118.89246,141.86679,0.607,0.172,0.019,252,1880,16
92.869606,19.10011,104.98703,117.81687,141.73373,0.562,0.154,0.017,524,144,17
94.21489,18.864594,106.46126,117.969246,141.70798,0.621,0.142,0.017,496,200,18
94.776474,19.389668,108.170815,119.484436,141.64453,0.627,0.186,0.019,324,1405,19
94.31877,19.594707,108.5209,119.71416,140.95473,0.612,0.196,0.035,1006,743,20
93.67589,18.940845,105.89407,117.8591,140.89987,0.622,0.128,0.011,14,82,21
93.72362,19.811821,106.750175,119.09509,140.78804,0.593,0.188,0.027,1372,1718,22
91.84247,20.882347,106.48601,118.44249,140.75842,0.502,0.18,0.034,138,61,23
94.029655,18.147133,106.10806,116.84633,140.74371,0.618,0.123,0.019,231,81,24
93.84831,19.388624,106.02085,120.140434,140.73228,0.591,0.186,0.035,1050,1951,25
93.161064,19.948938,106.393585,118.791245,140.52814,0.575,0.168,0.028,418,43,26
94.765625,19.046907,107.35074,119.01319,140.45123,0.626,0.193,0.023,4,995,27
94.44228,19.13996,106.92119,119.17478,140.30257,0.618,0.193,0.03,457,866,28
93.97839,19.024725,106.8194,118.43767,140.23373,0.601,0.151,0.016,189,1791,29
93.27137,19.454031,106.453476,117.501526,140.19722,0.57,0.169,0.026,1617,1235,30
